number,timestamp,difficulty,miner,ts,hash,transactions,tx_failed,tx_success,file_creation
15537393,2022-09-15 06:42:42,11055787484078698,0x5b310960a7922092fdcb9295ece336012f9cf87e,1663224162,0x8bd09ca00e65bb652557f8c5a74087be57bba5aa9274d901486e3a4132126733,37,2,35,2022-09-15 06:44:15
15537393,2022-09-15 06:42:42,11055787484078698,0x829bd824b016326a401d083b33d092293333a830,1663224162,0x55b11b918355b1ef9c5db810302ebad0bf2544255b530cdce90674d5887bb286,1,0,1,2022-09-15 06:42:50
15537394,2022-09-15 06:42:51,11056337239892586,0xea674fdde714fd979de3edf0f56aa9716b898ec8,1663224171,0xb84f2d01561bdeaee65b05f2ae01613b7f0c9b96dad11d7c150900c8d6b2e97c,76,4,72,2022-09-15 06:42:53
15537395,2022-09-15 06:42:53,11062285597874390,0xc365c3315cf926351ccaf13fa7d19c8c4058c8e1,1663224173,0x37d6cb00caeb698b311709fd4a906b2537972d1827b16c94d8984d012847ed65,140,8,132,2022-09-15 06:43:07
15537396,2022-09-15 06:43:07,11062835353688278,0xea674fdde714fd979de3edf0f56aa9716b898ec8,1663224187,0xc703cc6cb885515eb89ec582431634d4247dac26e62141c2f1b825bd0b08cca4,178,42,136,2022-09-15 06:43:35
15537397,2022-09-15 06:43:34,11052581559352080,0xea674fdde714fd979de3edf0f56aa9716b898ec8,1663224214,0x428ac402e1085ac4a9b01c090128c4f508da0cc399f6c1a0b6596608e8aa38b9,244,11,233,2022-09-15 06:43:47
15537398,2022-09-15 06:43:46,11053131315165968,0x646db8ffc21e7ddc2b6327448dd9fa560df41087,1663224226,0xda15160b28fcde84c9214f6eb2c6bb6e7ed4490c9cb21814b550555854c30582,281,40,241,2022-09-15 06:45:10
15537399,2022-09-15 06:45:09,11015901813554975,0x6ebaf477f83e055589c1188bcc6ddccd8c9b131a,1663224309,0x563c028f418020c683e9e15dd817107c0a4c0cda5df24270e964403161ec9653,188,13,175,2022-09-15 06:47:04
15537400,2022-09-15 06:47:04,10957284127987474,0xc730b028da66ebb14f20e67c68dd809fbc49890d,1663224424,0x36088dfc42bae9f47d4c0ec40c7b25ab8430b1925f3c49627c798f922219eac9,263,14,249,2022-09-15 06:47:05
15537401,2022-09-15 06:47:05,10963184120191980,0xc365c3315cf926351ccaf13fa7d19c8c4058c8e1,1663224425,0xa0335d24dfb5bdeff9fcf5d3dbc7d5430bf1810401768572a6a4ca0df10914e8,345,98,247,2022-09-15 06:49:18
15537402,2022-09-15 06:49:17,10894143351805437,0xc730b028da66ebb14f20e67c68dd809fbc49890d,1663224557,0x608885b3087db03ebe607d1eda025028e2eb5cd17ccaca9de532ee8d29afe248,320,41,279,2022-09-15 06:59:13
15537403,2022-09-15 06:59:11,10548931721941955,0x6ebaf477f83e055589c1188bcc6ddccd8c9b131a,1663225151,0xf4a0c40bbf5dde728e7293f702a89cd0b774b378ac8f120b923970f4f8e0bf4d,305,3,302,2022-09-15 07:00:09
15537404,2022-09-15 07:00:09,10523727249919073,0x5fc386e5312f24f9416644db87d215056ed4d55d,1663225209,0xd4e981211da4accdcfd589b3df024a699a485854b2b2473938bafd789e4f94eb,180,3,177,2022-09-15 07:02:13
15537405,2022-09-15 07:02:12,10462614541377973,0xea674fdde714fd979de3edf0f56aa9716b898ec8,1663225332,0x1b4bb856cfd35f95221664e8be94a37446753cdcfccadb6dfd979b53abf1464a,76,7,69,2022-09-15 07:07:11
15537406,2022-09-15 07:07:10,10299685944982837,0xea674fdde714fd979de3edf0f56aa9716b898ec8,1663225630,0x01afb40b50c248d81aa6303f0af089edbd2b009238b0559eb737ea82aa28526b,164,6,158,2022-09-15 07:09:31
15537407,2022-09-15 07:09:31,10229827691407203,0xea674fdde714fd979de3edf0f56aa9716b898ec8,1663225771,0x59423c089fe422c88d67318b22fe82bc6e8bcb9bb2ccd8f96fbd0cd12ef3cfd9,57,2,55,2022-09-15 07:12:28
15537408,2022-09-15 07:12:28,10140466852277099,0xea674fdde714fd979de3edf0f56aa9716b898ec8,1663225948,0x9f03e1b32f165d3577b615939836039f986bcb16442b075d744970dfdd9cb7ca,95,6,89,2022-09-15 07:18:31
15537409,2022-09-15 07:18:31,9947912014712680,0x26b3eea1cd34a4aff7ce828a5f71daac042d38e0,1663226311,0xae02f283f2fc5411d8350b7952aecc39e3fe1eb6fe3f930f41fbe05f6f031147,298,34,264,2022-09-15 07:28:49
15537410,2022-09-15 07:28:48,9623017383326557,0x26b3eea1cd34a4aff7ce828a5f71daac042d38e0,1663226928,0xbaed90ff50e8274e4f5d40b15627b670b792556075e1ace8ac38ff400c6a9f35,410,15,395,2022-09-15 08:07:48
15537411,2022-09-15 08:07:40,9158391982426947,0x5fc386e5312f24f9416644db87d215056ed4d55d,1663229260,0xd56cd6bf3eeaa0e33cce1035c7325b7a04b26c6cf04a1128f66e5d9f3e7a511f,430,3,427,2022-09-15 08:23:01
15537412,2022-09-15 08:23:00,8716226500809104,0x26b3eea1cd34a4aff7ce828a5f71daac042d38e0,1663230180,0x3397fed8572b9d0b38da013d6d5db1fa6e1e1ef4e1615165f6d2c6997793f120,156,0,156,2022-09-15 08:27:46
15537414,2022-09-15 09:26:51,8174451298757370,0x26b3eea1cd34a4aff7ce828a5f71daac042d38e0,1663234011,0x2f9fdac4a9d99e4c2c2825583f6279ffa206ea95187cf752121f7f76d5a4de5b,84,1,83,2022-09-15 10:06:59
15537415,2022-09-15 09:28:37,8135086741589048,0x26b3eea1cd34a4aff7ce828a5f71daac042d38e0,1663234117,0x17263dc8edef50b1aadcfd71d28af798580631ede9aefe46a7129376a44ef0bd,123,3,120,2022-09-15 10:07:02
15537416,2022-09-15 10:07:00,7742387675421877,0xf2e3718a3ea5e0af0fbf6de3cc479fd00d54b5dc,1663236420,0x3fb59ed71ead18360e69e678cf45b90f27b4732c6c840e049b6add6f81f3a411,408,17,391,2022-09-15 11:14:48
15537417,2022-09-15 11:14:48,7368671620754004,0x26b3eea1cd34a4aff7ce828a5f71daac042d38e0,1663240488,0x8b434f71ac45e4a43a6db15e67b2cc516762b66ba33b62104aa283694535ffc7,182,0,182,2022-09-15 11:35:27
15537418,2022-09-15 11:35:26,7013020941775613,0xf2e3718a3ea5e0af0fbf6de3cc479fd00d54b5dc,1663241726,0x3b1d54af2463f4f6043bf9ccc0913cb3c12c3c77f4755b4a641d519a615513ef,271,1,270,2022-09-15 11:44:55
15537419,2022-09-15 11:44:52,6804686773054215,0xf2e3718a3ea5e0af0fbf6de3cc479fd00d54b5dc,1663242292,0x78c1c271074042eaeb85d9650fd4c486cd58ee464810ed1719623620e858cd79,368,11,357,2022-09-15 12:53:59
15537420,2022-09-15 12:53:58,6476299033491008,0x09ab1303d3ccaf5f018cd511146b07a240c70294,1663246438,0x28e995257c50baa01e4456a52c30ae9208635e74ec3bf33abb1520d49ee4a4e6,843,84,759,2022-10-07 17:23:03
